caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
5298,2,3,15,60,15
5299,2,3,60,70,30
5300,1,6,90,10,10
5301,2,1,15,70,40
5302,1,7,85,30,50
5303,1,1,60,85,60
5305,2,2,40,60,70
5306,1,1,60,40,30
5307,1,6,60,60,60
5308,2,1,40,85,50
5309,2,1,15,85,60
5310,2,3,30,70,50
5311,2,1,25,65,50
5312,1,6,85,40,50
5314,1,5,85,50,50
5315,1,2,85,60,70
5316,3,2,15,50,60
5317,2,6,80,87,50
5318,2,1,70,85,50
5322,1,7,75,10,50
5326,1,6,80,50,60
5327,2,1,35,75,0
5328,2,2,70,60,0
5329,1,7,85,30,0
5330,1,6,70,40,15
5331,1,7,85,15,0
5332,2,2,60,60,15
5333,2,3,30,60,40
5335,2,1,40,60,50
5336,3,1,50,60,85
5337,3,2,15,15,50
5340,1,7,85,30,40
5343,1,4,60,40,40
5345,2,1,0,70,60
5346,2,1,70,85,50
5347,2,2,30,70,0
5348,2,4,15,50,0
5350,1,7,85,50,15
5351,1,7,70,0,15
5352,3,6,60,15,40
5354,3,4,0,15,85
5355,2,3,45,65,55
5356,2,1,15,85,0
5358,1,5,100,85,60
5359,2,4,40,45,60
5360,2,3,30,60,50
5362,2,6,40,60,0
5363,1,7,100,30,30
5364,1,7,85,40,30
5367,2,1,40,70,30
5369,1,7,85,30,15
5371,3,7,70,40,50
5372,1,7,100,30,0
5374,3,6,70,40,60
5375,3,5,50,40,60
5376,3,3,30,50,40
5377,2,1,40,85,0
5379,2,3,0,70,15
5380,2,3,40,60,0
5381,1,7,100,50,50
5384,2,1,0,85,15
5385,2,3,30,85,60
5386,3,4,50,0,100
5387,3,4,0,0,100
5388,2,1,40,85,40
5390,2,3,50,85,70
5391,2,7,85,70,60
5392,1,6,50,30,30
5393,1,7,85,30,0
5397,1,7,85,50,50
5398,3,1,50,60,70
5402,1,3,70,0,0
5403,2,1,60,85,50
5404,2,1,70,70,50
5405,2,3,50,85,30
5407,2,3,50,50,0
5408,2,1,0,100,15
5412,3,6,60,85,15
5413,2,1,0,100,0
5414,1,7,75,30,60
5415,3,7,60,15,60
5416,1,6,60,60,70
5418,1,4,70,70,70
5420,1,7,85,30,15
5422,1,6,40,15,0
5423,1,6,85,100,60
5425,2,1,0,90,40
5427,3,6,40,30,60
5431,2,1,50,70,60
5432,2,3,30,70,15
5433,1,2,85,70,50
5434,2,3,50,60,40
5436,1,5,70,40,50
5437,2,1,10,75,0
5438,1,7,85,15,50
5439,2,1,30,100,50
5441,1,7,85,30,60
5442,2,1,0,85,50
5443,2,1,15,85,30
5444,3,7,85,40,60
5445,3,5,75,40,75
5449,1,6,100,50,15
5450,1,6,70,60,50
5451,2,6,60,85,60
5453,2,6,70,40,60
5455,2,2,60,70,50
5456,1,5,100,40,50
5457,3,6,60,70,85
5459,3,3,70,15,60
5461,2,3,60,40,0
5462,1,2,70,60,15
5464,1,2,85,70,50
5466,3,3,15,60,30
5467,3,5,50,30,30
5469,2,5,70,40,80
5470,3,7,70,60,70
5471,2,1,60,85,50
5472,2,3,30,70,0
5473,1,5,85,60,60
5477,3,2,40,60,60
5478,2,2,40,70,30
5479,3,4,70,50,85
5480,1,6,80,30,50
5481,2,3,25,50,25
5484,2,1,30,100,85
5485,2,3,50,100,70
5486,2,1,70,85,50
5488,1,4,60,30,15
5490,1,7,85,15,50
5491,3,3,60,60,40
5492,2,4,40,85,70
5494,2,3,15,70,30
5495,2,5,30,60,50
5496,2,2,40,70,50
5498,3,5,70,15,70
5501,1,4,30,30,40
5503,1,3,70,60,60
5504,1,6,80,40,40
5507,1,5,70,60,50
5508,1,5,60,30,15
5509,1,7,100,0,0
5510,2,4,40,85,0
5511,2,1,30,85,0
5513,2,2,30,85,60
5514,2,4,50,60,15
5515,2,2,0,100,50
5516,1,7,100,60,60
5521,3,2,50,50,25
5522,2,1,0,85,50
5523,3,3,0,70,100
5526,2,2,40,60,50
5528,2,1,0,100,60
5529,1,5,85,30,70
5530,3,3,0,60,40
5531,1,7,70,0,70
5532,2,1,50,80,65
5533,1,5,70,55,55
5534,1,7,80,15,0
5535,1,7,70,15,50
5536,1,7,85,0,40
5538,2,1,15,100,85
5539,2,6,0,85,0
5540,1,2,50,50,15
5541,3,2,15,30,30
5542,2,3,30,60,30
5543,3,6,60,50,60
