country,year,ue,inf,cbi,cwagebrg,GDP_PC,open,uden,lcab,wagexcbi,HasLCAB
10,1983,10.4,8.199999999999999,.529979,.75,9.378225,.576931,.7758,0,.39748424,1
10,1984,10.1,5.2,.529979,.75,9.426983,.59643,.7882,0,.39748424,1
10,1985,9,5.3,.529979,.75,9.470317,.603382,.785,0,.39748424,1
10,1986,7.8,4.7,.529979,.75,9.508516999999999,.534819,.7883,0,.39748424,1
10,1987,7.8,5.1,.529979,.75,9.50666,.498677,.7653,0,.39748424,1
10,1988,8.6,4.9,.529979,.75,9.515689999999999,.492075,.7437,0,.39748424,1
10,1989,9.300000000000001,4,.529979,.75,9.522447,.521852,.747153,0,.39748424,1
10,1990,9.6,3.3,.529979,.75,9.540291,.519617,.750542,0,.39748424,1
11,1955,.5,2.9,.492917,.75,8.416931,.359278,.242716,.269231,.36968774,1
11,1956,.7,9,.492917,.75,8.433812,.345966,.259067,.228022,.36968774,1
11,1957,1.8,7.4,.492917,.75,8.431417,.366057,.275686,.089286,.36968774,1
11,1958,3.1,7.8,.492917,.75,8.415603000000001,.37166,.292527,.122222,.36968774,1
11,1959,2.2,1.3,.492917,.75,8.482395,.379616,.309547,.013889,.36968774,1
11,1960,1.5,2.2,.492917,.75,8.573763,.405494,.3267,0,.36968774,1
11,1961,1.2,5.3,.492917,.75,8.643649999999999,.384858,.3232,0,.36968774,1
11,1962,1.3,4,.492917,.75,8.655737,.379502,.3615,0,.36968774,1
11,1963,1.5,5.1,.492917,.75,8.670601,.353349,.3821,0,.36968774,1
11,1964,1.5,7.2,.492917,.75,8.723394000000001,.371553,.3785,.375,.36968774,1
11,1965,1.4,5,.492917,.75,8.781708999999999,.36917,.3804,0,.36968774,1
11,1966,1.5,4.7,.492917,.75,8.794219,.362207,.4041,.194444,.36968774,1
11,1967,2.9,7.4,.492917,.75,8.803424,.352011,.4252,.333333,.36968774,1
11,1968,3.8,12.1,.492917,.75,8.815963999999999,.377499,.4394,.317708,.36968774,1
11,1969,2.8,4.2,.492917,.75,8.910856000000001,.4111,.4739,.3125,.36968774,1
11,1970,1.9,3.8,.492917,.75,9.000607,.45388,.5193,.261581,.36968774,1
11,1971,2.2,7.6,.492917,.75,9.014811999999999,.430501,.5683,.221078,.36968774,1
11,1972,2.5,8.4,.492917,.75,9.076923000000001,.430097,.6168,.375,.36968774,1
11,1973,2.3,14.1,.492917,.75,9.13777,.436556,.6188,.233333,.36968774,1
11,1974,1.7,22.5,.492917,.75,9.170976,.514858,.6425,.233333,.36968774,1
11,1975,2.2,14.5,.492917,.75,9.170455,.467743,.6592,.234801,.36968774,1
11,1976,3.8,12.5,.492917,.75,9.151757,.454913,.6802,.210938,.36968774,1
11,1977,5.8,10.1,.492917,.75,9.147081,.479487,.6788,.145833,.36968774,1
11,1978,7.2,7.7,.492917,.75,9.159573,.474693,.6825,.25,.36968774,1
11,1979,5.9,8.4,.492917,.75,9.236203,.529453,.6938,.25,.36968774,1
11,1980,4.6,9.300000000000001,.492917,.75,9.292013000000001,.580264,.7035,.25,.36968774,1
11,1981,4.8,11.4,.492917,.75,9.296792999999999,.561142,.7002,.25,.36968774,1
11,1982,5.3,8.699999999999999,.492917,.75,9.326166000000001,.524558,.6932,.708333,.36968774,1
11,1983,5.4,8.6,.492917,.75,9.348100000000001,.5201210000000001,.6964,.741422,.36968774,1
11,1984,5.2,8.9,.492917,.75,9.371268000000001,.51086,.6976,.735294,.36968774,1
11,1985,5,5.1,.492917,.75,9.396903,.498525,.6899999999999999,.735294,.36968774,1
11,1986,5.3,4.6,.492917,.75,9.414179000000001,.451647,.6973,.735294,.36968774,1
11,1987,5,5.2,.492917,.75,9.451717,.448496,.703,.72658,.36968774,1
11,1988,4.5,6.3,.492917,.75,9.501291999999999,.413169,.7178,.722222,.36968774,1
11,1989,3.4,5.8,.492917,.75,9.562897,.420197,.7194,.722222,.36968774,1
11,1990,3.4,6.5,.492917,.75,9.551017999999999,.396651,.727604,.722222,.36968774,1
13,1955,4.6,2.3,.461979,0,8.033982999999999,.6021069999999999,.5329930000000001,.307692,0,1
13,1956,5.3,2.8,.461979,0,8.008366000000001,.549245,.5329970000000001,.307692,0,1
13,1957,6.7,3.7,.461979,0,7.995644,.574317,.533008,.076923,0,1
13,1958,6.4,5.8,.461979,0,7.990915,.581514,.533031,0,0,1
13,1959,6.1,2.6,.461979,0,8.05484,.565296,.533069,0,0,1
13,1960,5.6,.1,.461979,0,8.105005999999999,.599683,.533123,0,0,1
13,1961,5.1,2.8,.461979,0,8.154500000000001,.649265,.533184,0,0,1
13,1962,4.9,4.4,.461979,0,8.192847,.609239,.5332249999999999,0,0,1
13,1963,5,2.6,.461979,0,8.234565,.634513,.533186,0,0,1
13,1964,4.7,9.199999999999999,.461979,0,8.275631000000001,.603774,.532965,0,0,1
13,1965,4.6,4.4,.461979,0,8.29405,.618144,.5324140000000001,0,0,1
13,1966,4.7,4.3,.461979,0,8.295299,.611188,.5313560000000001,0,0,1
13,1967,5,3.9,.461979,0,8.333750999999999,.6133150000000001,.529658,0,0,1
13,1968,5.3,4.3,.461979,0,8.414052,.660643,.527379,0,0,1
13,1969,5,8.9,.461979,0,8.478868,.668567,.525037,0,0,1
13,1970,5.8,8.9,.461979,0,8.520189,.704935,.524,0,0,1
13,1971,5.5,10.6,.461979,0,8.542861,.698165,.527,0,0,1
13,1972,6.2,13.5,.461979,0,8.592485999999999,.664879,.53,0,0,1
13,1973,5.7,15.3,.461979,0,8.629629,.735141,.535,.25,0,1
13,1974,5.3,6.1,.461979,0,8.650149000000001,.923638,.543,.333333,0,1
13,1975,7.3,22.4,.461979,0,8.666646999999999,.831039,.53,.333333,0,1
13,1976,9,21,.461979,0,8.671801,.9026650000000001,.529,.333333,0,1
13,1977,8.800000000000001,13.3,.461979,0,8.741616,.983553,.537,.194444,0,1
13,1978,8.199999999999999,10.5,.461979,0,8.801017999999999,.988042,.551,0,0,1
13,1979,7.1,13.9,.461979,0,8.824825000000001,1.049741,.5590000000000001,0,0,1
13,1980,7.3,14.5,.461979,0,8.828055000000001,1.015159,.551,0,0,1
13,1981,9.9,18,.461979,0,8.851520000000001,.999701,.533,.133333,0,1
13,1982,11.4,15.6,.461979,0,8.858369,.934644,.515,.066667,0,1
13,1983,14,10.4,.461979,0,8.840291000000001,.959426,.504,.266667,0,1
13,1984,15.5,7.7,.461979,0,8.870944,1.075713,.491,.266667,0,1
13,1985,17.4,5,.461979,0,8.892199,1.066893,.462,.266667,0,1
13,1986,17.4,7.3,.461979,0,8.8871,.913328,.436557,.266667,0,1
13,1987,17.5,2.6,.461979,0,8.92811,.943203,.413257,.066667,0,1
13,1988,16.7,2.2,.461979,0,8.974491,.991276,.391182,0,0,1
13,1989,15.6,3.5,.461979,0,9.050641000000001,1.057558,.36974,0,0,1
13,1990,14,3.6,.461979,0,9.134969999999999,.98595,.348558,0,0,1
14,1955,1.4,4.5,.564036,.5,8.575272999999999,.87596,.3894,.357143,.28201801,1
14,1956,1,3.9,.564036,.5,8.624252,.910281,.4021,.361722,.28201801,1
14,1957,1.3,5.7,.564036,.5,8.634798,.922565,.3913,.384615,.28201801,1
14,1958,2.4,1.8,.564036,.5,8.587092,.863048,.387,.384615,.28201801,1
14,1959,1.9,2,.564036,.5,8.627840000000001,.893797,.3861,0,.28201801,1
14,1960,1.2,2.7,.564036,.5,8.712266,.905766,.3909,0,.28201801,1
14,1961,.9,2.4,.564036,.5,8.736329,.911448,.3872,0,.28201801,1
14,1962,.8,3.5,.564036,.5,8.764366000000001,.886597,.3997,0,.28201801,1
14,1963,.8,4.7,.564036,.5,8.791334000000001,.899593,.3994,0,.28201801,1
